Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ROOM1:Zone Windows Total Heat Gain Energy [J](TimeStep),ROOM1:Zone Windows Total Heat Loss Energy [J](TimeStep),WALL_NORTH:Surface Inside Face Temperature [C](TimeStep),WALL_NORTH:Surface Outside Face Temperature [C](TimeStep),WALL_NORTH:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),WALL_SOUTH:Surface Inside Face Temperature [C](TimeStep),WALL_SOUTH:Surface Outside Face Temperature [C](TimeStep),WALL_SOUTH:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),WALL_EAST:Surface Inside Face Temperature [C](TimeStep),WALL_EAST:Surface Outside Face Temperature [C](TimeStep),WALL_EAST:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),WALL_WEST:Surface Inside Face Temperature [C](TimeStep),WALL_WEST:Surface Outside Face Temperature [C](TimeStep),WALL_WEST:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),FLOOR:Surface Inside Face Temperature [C](TimeStep),FLOOR:Surface Outside Face Temperature [C](TimeStep),FLOOR:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),ROOF:Surface Inside Face Temperature [C](TimeStep),ROOF:Surface Outside Face Temperature [C](TimeStep),ROOF:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),MYBINDO:Surface Inside Face Temperature [C](TimeStep),MYBINDO:Surface Outside Face Temperature [C](TimeStep),MYBINDO:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),ROOM1:Zone Mean Air Temperature [C](TimeStep),ROOM1:Zone Air System Sensible Heating Energy [J](TimeStep),ROOM1:Zone Air System Sensible Cooling Energy [J](TimeStep) 
 01/01  01:00:00,8.1,0.0,248016.63790691434,19.83757245415409,7.876669867360151,18327.531053278297,20.219151671359864,8.444405650174678,-68098.15273245415,19.893540230482863,7.976252602306348,797.1719379943156,19.959177996131277,7.966345331711749,-19774.760869142923,20.108391333119094,9.989425811434968,-126105.97029972995,19.847181766584463,0.3628922068985567,28878.374369430752,15.008778491629641,9.411871248406555,165975.8065406239,21.00000000000018,530200.6462109769,0.0 
 01/01  02:00:00,6.9,0.0,263602.24296179425,19.820097412471334,6.809237568783432,15759.700481823069,20.208583675135948,7.319478372819645,-71013.29257846161,19.87789232170283,6.893277241942955,-2339.093797438279,19.940458574909478,6.883331327610154,-21946.662986844007,20.070681732821416,8.950593282652639,-118983.85587629043,19.83254339805384,-0.5057958169324588,22381.53426478819,14.675394124019135,8.742314820748902,176141.67049242315,21.000000000000004,548442.3478474944,0.0 
 01/01  03:00:00,6.8,0.0,265253.6058895051,19.804277549051957,6.470823603153918,14350.518119327033,20.195471359231135,6.969052412939578,-72813.22122230487,19.86336680418792,6.540530803741522,-4150.951613727237,19.92277067288919,6.558121422754161,-22764.438682638327,20.037355095179898,8.680349000839412,-111220.54052093216,19.81695142011656,-1.0264105048815213,19568.173170403963,14.626112779549317,8.636142860859877,177030.4607498718,21.0,561037.5740967247,0.0 
 01/01  04:00:00,5.7,0.0,279754.7958547931,19.786964431091874,5.57169634266927,11578.346022335825,20.17889722357736,6.031003117933098,-74355.06196726536,19.84680759526334,5.634030368733877,-7156.274513939035,19.90308646396825,5.638149418640735,-24787.442308887443,20.00442587934325,7.756532030026721,-107157.29833568398,19.797374273302413,-2.1913538509749744,15666.657263783873,14.320866286727778,8.018910991350424,186211.07383965622,21.0,579193.3944066588,0.0 
 01/01  05:00:00,5.9,0.0,275671.4494508925,19.770082358890235,5.4726015741112795,10397.160812806422,20.159245220217525,5.950970182241194,-74903.01323391027,19.830176021684956,5.526797260681276,-8412.834223414931,19.883446416555792,5.5586986859205005,-25098.35556846189,19.97378498983284,7.7384775339438026,-101200.55170214336,19.776354785330305,-2.641275125401781,15870.677684276558,14.385084952299849,8.127862592323254,183346.91623084733,21.0,591578.1091883758,0.0 
 01/01  06:00:00,6.7,0.0,265590.9301884238,19.75250336641816,5.834675092141501,9672.586255460494,20.136402174806637,6.314796148753182,-74849.25161919415,19.812401580792912,5.929458338070213,-9073.044311118316,19.8628214887701,5.884639271853864,-24862.610590608314,19.943941900697656,8.191321895534832,-95263.30520520624,19.752980212665783,-2.79615150537403,17930.682485848563,14.572454234609097,8.535090444433422,176444.94298481813,21.0,602797.7254979151,0.0 
 01/01  07:00:00,6.5,0.0,269339.1066695936,19.73175676016732,5.619833864125138,7559.268671920479,20.109707410462033,6.09941702814175,-74827.58305149846,19.79107717785983,5.7176955828605305,-11001.812064544207,19.838820765439806,5.665196473438954,-25949.85182753948,19.911917204152186,8.005861288347619,-92536.56477763956,19.72487086211489,-3.2009191365910006,18298.286161117143,14.483057819857322,8.397792807253381,178458.25688818426,21.0,620995.4904938437,0.0 
 01/01  08:00:00,5.8,0.0,274079.891022089,19.708268555832635,5.24838508460785,5270.999306825029,20.079281726826572,5.68714560666143,-74604.64961025241,19.766695065109953,5.335033076689018,-13006.09373255165,19.811939754535917,5.29018988167745,-27168.04298301083,19.87802918135999,7.470098728431771,-90669.84696617773,19.692803906332983,-2.7888525909127835,19043.634873612635,14.369936833948316,8.191267382462001,181133.99911155528,21.0,641894.1309378883,0.0 
 01/01  09:00:00,7.2,1799691.8894929907,0.0,19.918662924293624,7.803374845349538,68694.75291728761,20.223915035218685,9.709046937962414,-23194.0930507717,19.976146555684306,7.806293416624193,50674.96963144489,20.019227395249192,15.552830552392116,37163.1879592899,20.59218015868063,8.39211311513616,-270896.12205679127,19.90414832930154,8.110914260757639,138433.96588486555,20.152010574481324,14.639882993484093,-876.6612853247352,21.0,111352.90385143195,0.0 
 01/01  10:00:00,10.4,3055374.5142562813,0.0,20.10105883446778,11.1203284103247,117598.65597800215,20.35429303366382,22.64561519124151,20558.13165236332,20.157534916996177,11.14886749828833,99861.71709003866,20.198695868158733,23.983600571034927,86928.21953413125,21.226456774549412,10.51780389251574,-450132.20273777185,20.084024177671804,19.738533909644396,232390.13999118967,23.478790856556998,18.30870733988104,-107204.6615079531,21.095049973238968,0.0,0.0 
