Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ROOM1:Zone Windows Total Heat Gain Energy [J](TimeStep),ROOM1:Zone Windows Total Heat Loss Energy [J](TimeStep),WALL_NORTH:Surface Inside Face Temperature [C](TimeStep),WALL_NORTH:Surface Outside Face Temperature [C](TimeStep),WALL_NORTH:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),WALL_SOUTH:Surface Inside Face Temperature [C](TimeStep),WALL_SOUTH:Surface Outside Face Temperature [C](TimeStep),WALL_SOUTH:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),WALL_EAST:Surface Inside Face Temperature [C](TimeStep),WALL_EAST:Surface Outside Face Temperature [C](TimeStep),WALL_EAST:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),WALL_WEST:Surface Inside Face Temperature [C](TimeStep),WALL_WEST:Surface Outside Face Temperature [C](TimeStep),WALL_WEST:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),FLOOR:Surface Inside Face Temperature [C](TimeStep),FLOOR:Surface Outside Face Temperature [C](TimeStep),FLOOR:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),ROOF:Surface Inside Face Temperature [C](TimeStep),ROOF:Surface Outside Face Temperature [C](TimeStep),ROOF:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),MYBINDO:Surface Inside Face Temperature [C](TimeStep),MYBINDO:Surface Outside Face Temperature [C](TimeStep),MYBINDO:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),ROOM1:Zone Mean Air Temperature [C](TimeStep),ROOM1:Zone Air System Sensible Heating Energy [J](TimeStep),ROOM1:Zone Air System Sensible Cooling Energy [J](TimeStep) 
 01/01  01:00:00,8.1,0.0,227719.9514572606,17.65331035268304,11.505857695224577,127707.62390055071,19.675112940722073,13.503536870054242,-410270.7672384653,18.034702664148348,11.911192175847397,10703.096374594386,18.13522803200416,11.916585907974131,-20213.020495172663,17.55141089094596,12.949970234123853,300810.39644227305,18.300765065800668,8.139788252607707,-134527.63933998576,14.160049733324513,9.02204600283443,125790.31035620587,20.999999999999996,1892810.3836552033,0.0 
 01/01  02:00:00,6.9,0.0,241665.36939637407,17.509024769815476,10.768452011515812,104633.24472187507,19.339717081748667,12.531354677910098,-377664.7974491315,17.855434781204547,11.13145908725156,-1462.1553129045567,17.94414141872674,11.093292196443038,-28691.459751695977,17.42558517202514,12.317947160239655,246399.6143856718,17.980705226183453,7.171656169572698,-75354.39108851281,13.75345388168455,8.313992099299867,132139.9444946982,21.0,2097514.7619844545,0.0 
 01/01  03:00:00,6.8,0.0,241358.66592239036,17.336914418689954,10.386408469062067,84283.8250517006,18.988832859588356,11.969508672335953,-347201.4106276772,17.649954067253837,10.713556169886731,-11404.617027021472,17.727515010450325,10.654401282790753,-35160.89952259369,17.272172316263156,12.009142359840856,197031.32339364916,17.641153345410512,6.454649937683814,-16286.54774068541,13.622283410880812,8.164273385271713,128738.32647262797,21.0,2323759.6588232922,0.0 
 01/01  04:00:00,5.7,0.0,253794.46792357822,17.136479919099127,9.80057396095964,64209.17000987736,18.62442467282396,11.231843410475234,-319681.10078408296,17.4185911410249,10.09595295513189,-21833.215536722615,17.484845258339746,10.023916037296823,-42076.74651299227,17.089298163138817,11.446681157843342,148861.59313077028,17.282760208893496,5.704028561444718,37335.130624163496,13.221668474658259,7.502809524612871,133185.16906898713,21.000000000000007,2584436.686019362,0.0 
 01/01  05:00:00,5.9,0.0,247424.9520872821,16.918333866088638,9.591852396328942,47368.715315051915,18.25563048985166,10.909170577282973,-294407.55398990377,17.17218781751659,9.860368905721385,-29869.72881087199,17.227291749951736,9.7893938438698,-46662.63167998163,16.886349272710923,11.250754539243774,108214.0382538304,16.918626958100315,5.161700658422696,89672.4184295695,13.177758537861223,7.549069258891791,125684.74248230559,21.000000000000004,2861267.2432956793,0.0 
 01/01  06:00:00,6.7,0.0,235149.46159252117,16.689533275424232,9.617550780041586,32565.4243419776,17.89010415591486,10.843904878254692,-271661.13257469266,16.917762186704262,9.796022818746222,-36702.941011928495,16.96240459014547,9.865549794393997,-50271.228809098924,16.669056516795127,11.298515537187601,73576.17405410133,16.556522704125047,4.731208859044781,138087.09922068618,13.244748820508903,7.891724219087678,114406.60477895549,21.000000000000004,3150918.6179032805,0.0 
 01/01  07:00:00,6.5,0.0,236118.61699392291,16.458553161804517,9.416919589691007,17809.97077307224,17.53728621454033,10.543938826412536,-252019.60413521042,16.663319591091813,9.56546779073286,-44181.49198715861,16.699310314515625,9.649515586670773,-55091.00160443308,16.445271097894814,11.120464698081202,41523.18325933483,16.20254960510913,4.267352693098734,180233.91709615788,13.045663162750657,7.698242171009156,111725.02659823708,21.0,3452128.5147412824,0.0 
 01/01  08:00:00,5.8,0.0,237913.48145718747,16.234721208044547,9.101811938895908,4020.210695807582,17.20506625323785,10.102820866650275,-235160.92201722183,16.417560031215405,9.209399554411215,-51198.34330052895,16.447807560919234,9.315299506150536,-60343.393735081496,16.22484006108691,10.778351073874926,13484.234395169806,15.863681096727056,4.125569827452766,219274.8278220649,12.82916305911408,7.4523558031951325,109923.38613979054,21.000000000000004,3750840.6355531435,0.0 
 01/01  09:00:00,7.2,1843929.9493595115,0.0,16.243810949717005,10.345065675650618,54939.239966927526,17.06155176125153,12.218050189526437,-172383.91245159932,16.406321145120238,10.412296044982691,5861.6369995636405,16.434827915795733,15.217144869210905,-2755.8628023957544,16.74401627224115,11.036635606233055,-182205.36072049337,15.777325092645805,10.108528720445191,369864.9773879105,18.497512311972628,13.9856260566512,-73320.71837991303,21.0,3398399.0660331366,0.0 
 01/01  10:00:00,10.4,3099952.0759033933,0.0,16.241552943261404,12.200385258838766,94623.01688206503,16.939141146829147,19.926546474519252,-119224.32865219719,16.385127333968818,12.335811568993718,51269.096046668616,16.44100210778294,21.27074549919334,34379.317044076,17.180162092216502,11.94602540169026,-359358.7692067704,15.71566679259144,17.762157126061688,478607.8878858944,21.692040246152658,17.539749381748663,-180296.2199997363,21.0,3339862.683748512,0.0 
