Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ROOM1:Zone Windows Total Heat Gain Energy [J](TimeStep),ROOM1:Zone Windows Total Heat Loss Energy [J](TimeStep),WALL_NORTH:Surface Inside Face Temperature [C](TimeStep),WALL_NORTH:Surface Outside Face Temperature [C](TimeStep),WALL_NORTH:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),WALL_SOUTH:Surface Inside Face Temperature [C](TimeStep),WALL_SOUTH:Surface Outside Face Temperature [C](TimeStep),WALL_SOUTH:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),WALL_EAST:Surface Inside Face Temperature [C](TimeStep),WALL_EAST:Surface Outside Face Temperature [C](TimeStep),WALL_EAST:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),WALL_WEST:Surface Inside Face Temperature [C](TimeStep),WALL_WEST:Surface Outside Face Temperature [C](TimeStep),WALL_WEST:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),FLOOR:Surface Inside Face Temperature [C](TimeStep),FLOOR:Surface Outside Face Temperature [C](TimeStep),FLOOR:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),ROOF:Surface Inside Face Temperature [C](TimeStep),ROOF:Surface Outside Face Temperature [C](TimeStep),ROOF:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),MYBINDO:Surface Inside Face Temperature [C](TimeStep),MYBINDO:Surface Outside Face Temperature [C](TimeStep),MYBINDO:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),ROOM1:Zone Mean Air Temperature [C](TimeStep),ROOM1:Zone Air System Sensible Heating Energy [J](TimeStep),ROOM1:Zone Air System Sensible Cooling Energy [J](TimeStep) 
 01/01  01:00:00,8.1,0.0,248086.56779490222,19.831834465858613,7.548827392878441,21808.25542230375,20.235393906974657,7.914446963726845,-71008.39977087855,19.898001987293704,7.586468040542993,1083.3009396938232,19.952522169708626,7.606905585858983,-16003.95394949251,20.11091553361412,9.725408542478464,-124425.58613893761,19.86327944186398,-0.4311282739970395,22522.975611536298,15.011689371713942,9.413212084084307,166023.40788577488,21.0,525757.1748537841,0.0 
 01/01  02:00:00,6.9,0.0,263648.90915635676,19.81190879997611,6.40993282104612,17778.664620251897,20.209465764167142,6.765806003934446,-71731.83641579153,19.87795561083988,6.438519641356898,-2904.495114244175,19.927955089748213,6.472969096025033,-18573.559300006196,20.07310713553689,8.609338386014256,-121431.30942080467,19.833321819749848,-1.3064374806404928,20852.009317626067,14.677365872913867,8.743193439109518,176010.5263129687,21.0,548634.7163409543,0.0 
 01/01  03:00:00,6.8,0.0,265226.5607853749,19.790621487914947,6.079908582815268,14998.577511965905,20.179044213291967,6.453324808694512,-71548.24898018253,19.85576092766045,6.101940221523104,-5396.201716141921,19.901907056057365,6.163631002468281,-19853.943051696584,20.036220060118364,8.339674871929727,-117388.29781403276,19.80035665864641,-1.7666588583347116,22504.209868674596,14.625201146980544,8.635530256327684,176683.90418141388,20.999999999999996,567941.0172412628,0.0 
 01/01  04:00:00,5.7,0.0,279628.8403071272,19.76550931262328,5.160811894356845,10983.653339636643,20.144131268270797,5.524213534700188,-71344.99617875181,19.829176552760366,5.1811886950133745,-8945.249589867908,19.872025088466618,5.2334842632354555,-22365.897677139023,19.99694940623439,7.399707544873126,-116533.91252224741,19.762291280440156,-2.9039682269133738,22583.845741226356,14.31563172823229,8.016333413604855,185622.55688714358,21.0,594270.548110939,0.0 
 01/01  05:00:00,5.9,0.0,275418.4221268183,19.738530328351693,5.104122580137381,8700.272129506562,20.105425076225856,5.4784244363458665,-70458.8080961016,19.80034047065294,5.120837145264178,-10641.940109598527,19.840353152847953,5.185555500852901,-23170.34295417468,19.957225190988893,7.407175234585848,-113252.34863616787,19.72164537603782,-3.2945122725802025,26345.844573012444,14.374690797616722,8.122602286076017,182477.3230935239,21.000000000000004,616158.8114350192,0.0 
 01/01  06:00:00,6.7,0.0,265201.13388238824,19.708944336978426,5.553746089559936,7010.7769424593935,20.063130883101483,5.94022301966058,-69259.49076639304,19.76864940098329,5.630405499461422,-11666.96673465205,19.80620630970502,5.580819321512182,-23422.38465712823,19.915987145123758,7.938025558373149,-109490.95366045392,19.6778603298472,-3.366243028914791,31550.369919686505,14.555684568473566,8.526847838158233,175278.64895648177,21.0,638052.4619718479,0.0 
 01/01  07:00:00,6.5,0.0,268780.0359197984,19.67491308976476,5.376518929432279,4066.2906914871637,20.017044989607268,5.771700125559409,-68337.32179016294,19.732366323597848,5.459046334080203,-13900.703564503232,19.767774960548014,5.399702713116014,-24979.439888677425,19.870932587978125,7.7913393140976765,-108474.93761810704,19.629165985707694,-3.7104299671330603,34654.55645475863,14.45951885183797,8.386091921406148,176971.5557152047,21.0,667770.0546691024,0.0 
 01/01  08:00:00,5.8,0.0,273341.2362323641,19.637401964526926,5.012357629726806,1068.0409583421151,19.967757263197143,5.380024297015313,-67452.40760304923,19.692535082140367,5.08882672783448,-16166.658555599559,19.7260374675578,5.033270027335319,-26644.541949015158,19.82294066115454,7.2516297941495145,-107889.77098581391,19.576791984298133,-3.2081488860075376,37758.97000793343,14.33916170265195,8.176256076388995,179326.36812720256,21.0,700714.5540723319,0.0 
 01/01  09:00:00,7.2,1800718.9934025055,0.0,19.812074827436888,7.759427776945062,61583.311478987685,20.076128769487983,9.698329079803877,-18480.957582381998,19.865041045469056,7.750338649107416,44998.03080863929,19.89691203363624,15.937196464612157,35013.95510097306,20.46995748173823,8.274064211483473,-274583.9148100428,19.746213760648395,8.486712182940867,155387.09142989,20.11192696464866,14.622939773849907,-3917.516426065049,20.999999999999996,192117.1643626382,0.0 
 01/01  10:00:00,10.4,3056862.139497433,0.0,19.965305552616396,11.341664058023184,108311.60475010712,20.17574156731199,23.588421136167334,23805.214612748103,20.016231370354824,11.353766561355023,92340.35175298974,20.04666159849148,24.925294852625278,82792.91384548652,21.05416557107887,10.560069945552604,-444834.86510975804,19.89173370560172,21.19415009874362,248354.1708766065,23.418787821033902,18.28250708029833,-110769.39072817945,21.0,34345.034464844866,0.0 
