Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ROOM1:Zone Mean Air Temperature [C](TimeStep) 
 01/01  01:00:00,5.7,21.000000000000004 
 01/01  02:00:00,5.4,21.0 
 01/01  03:00:00,5.6,20.999999999999996 
 01/01  04:00:00,5.3,21.0 
 01/01  05:00:00,5.1,20.999999999999996 
 01/01  06:00:00,6.0,20.999999999999996 
 01/01  07:00:00,5.8,20.999999999999996 
 01/01  08:00:00,6.3,21.0 
 01/01  09:00:00,6.3,20.999999999999996 
 01/01  10:00:00,6.3,20.999999999999996 
 01/01  11:00:00,7.7,20.999999999999996 
 01/01  12:00:00,7.5,21.000000000000004 
 01/01  13:00:00,6.7,21.000000000000004 
 01/01  14:00:00,6.2,21.0 
 01/01  15:00:00,6.2,21.0 
 01/01  16:00:00,7.6,21.0 
 01/01  17:00:00,7.3,21.0 
 01/01  18:00:00,7.8,21.0 
 01/01  19:00:00,7.2,20.999999999999996 
 01/01  20:00:00,6.8,21.0 
 01/01  21:00:00,6.6,21.0 
 01/01  22:00:00,6.1,20.999999999999996 
 01/01  23:00:00,5.4,21.000000000000004 
 01/01  24:00:00,4.8,21.0 
 01/02  01:00:00,3.8,21.000000000000004 
 01/02  02:00:00,3.2,21.000000000000004 
 01/02  03:00:00,3.0,21.000000000000004 
 01/02  04:00:00,2.8,20.999999999999996 
 01/02  05:00:00,3.2,21.000000000000004 
 01/02  06:00:00,3.7,20.999999999999996 
 01/02  07:00:00,3.3,20.999999999999996 
 01/02  08:00:00,3.8,21.0 
 01/02  09:00:00,4.6,21.0 
 01/02  10:00:00,6.9,21.0 
 01/02  11:00:00,11.1,21.000000000000004 
 01/02  12:00:00,10.7,21.0 
 01/02  13:00:00,10.1,21.0 
 01/02  14:00:00,9.6,21.0 
 01/02  15:00:00,9.6,21.0 
 01/02  16:00:00,7.6,21.000000000000004 
 01/02  17:00:00,7.2,20.999999999999996 
 01/02  18:00:00,6.8,21.0 
 01/02  19:00:00,6.3,21.0 
 01/02  20:00:00,6.2,21.0 
 01/02  21:00:00,5.5,20.999999999999996 
 01/02  22:00:00,5.3,20.999999999999996 
 01/02  23:00:00,4.8,21.0 
 01/02  24:00:00,5.1,21.0 
 01/03  01:00:00,5.7,21.0 
 01/03  02:00:00,5.4,21.000000000000004 
 01/03  03:00:00,5.6,20.999999999999996 
 01/03  04:00:00,5.3,21.0 
 01/03  05:00:00,5.1,21.0 
 01/03  06:00:00,6.0,21.0 
 01/03  07:00:00,5.8,21.0 
 01/03  08:00:00,6.3,21.0 
 01/03  09:00:00,6.3,21.0 
 01/03  10:00:00,6.3,21.0 
 01/03  11:00:00,7.7,21.0 
 01/03  12:00:00,7.5,21.0 
 01/03  13:00:00,6.7,21.0 
 01/03  14:00:00,6.2,20.999999999999996 
 01/03  15:00:00,6.2,21.0 
 01/03  16:00:00,7.6,21.0 
 01/03  17:00:00,7.3,21.0 
 01/03  18:00:00,7.8,21.0 
 01/03  19:00:00,7.7,20.999999999999996 
 01/03  20:00:00,7.4,21.0 
 01/03  21:00:00,6.6,21.000000000000004 
 01/03  22:00:00,6.8,21.0 
 01/03  23:00:00,6.4,21.0 
 01/03  24:00:00,6.4,21.0 
 01/04  01:00:00,6.7,20.999999999999996 
 01/04  02:00:00,6.8,21.000000000000004 
 01/04  03:00:00,6.4,21.0 
 01/04  04:00:00,5.3,21.0 
 01/04  05:00:00,5.4,21.0 
 01/04  06:00:00,5.0,21.000000000000004 
 01/04  07:00:00,4.4,21.0 
 01/04  08:00:00,4.4,21.0 
 01/04  09:00:00,4.6,21.0 
 01/04  10:00:00,5.1,21.0 
 01/04  11:00:00,6.9,20.999999999999996 
 01/04  12:00:00,7.1,20.999999999999996 
 01/04  13:00:00,7.0,21.000000000000004 
 01/04  14:00:00,8.4,20.999999999999996 
 01/04  15:00:00,8.7,20.999999999999996 
 01/04  16:00:00,7.8,21.000000000000004 
 01/04  17:00:00,7.9,20.999999999999996 
 01/04  18:00:00,7.8,21.0 
 01/04  19:00:00,8.6,20.999999999999996 
 01/04  20:00:00,6.8,20.999999999999996 
 01/04  21:00:00,4.8,20.999999999999996 
 01/04  22:00:00,3.8,21.0 
 01/04  23:00:00,2.6,20.999999999999996 
 01/04  24:00:00,2.5,21.0 
 01/05  01:00:00,1.8,21.0 
 01/05  02:00:00,1.0,20.999999999999996 
 01/05  03:00:00,1.1,21.0 
 01/05  04:00:00,0.8,21.0 
 01/05  05:00:00,0.9,21.0 
 01/05  06:00:00,1.0,20.999999999999993 
 01/05  07:00:00,1.1,21.0 
 01/05  08:00:00,1.3,20.999999999999996 
 01/05  09:00:00,2.2,21.000000000000004 
 01/05  10:00:00,5.1,21.0 
 01/05  11:00:00,8.1,21.0 
 01/05  12:00:00,8.2,20.999999999999996 
 01/05  13:00:00,9.2,21.0 
 01/05  14:00:00,11.4,20.999999999999996 
 01/05  15:00:00,11.6,20.999999999999996 
 01/05  16:00:00,9.0,20.999999999999996 
 01/05  17:00:00,8.5,21.000000000000004 
 01/05  18:00:00,8.9,20.999999999999996 
 01/05  19:00:00,8.4,21.000000000000004 
 01/05  20:00:00,6.4,21.0 
 01/05  21:00:00,4.3,21.0 
 01/05  22:00:00,4.4,21.000000000000004 
 01/05  23:00:00,3.4,21.0 
 01/05  24:00:00,3.4,21.0 
 01/06  01:00:00,3.5,21.0 
 01/06  02:00:00,2.7,21.0 
 01/06  03:00:00,2.7,20.999999999999996 
 01/06  04:00:00,3.4,21.0 
 01/06  05:00:00,2.6,21.0 
 01/06  06:00:00,2.3,21.0 
 01/06  07:00:00,2.1,21.000000000000004 
 01/06  08:00:00,2.1,21.0 
 01/06  09:00:00,2.5,20.999999999999996 
 01/06  10:00:00,6.6,21.0 
 01/06  11:00:00,8.7,21.0 
 01/06  12:00:00,8.6,21.000000000000004 
 01/06  13:00:00,8.5,21.0 
 01/06  14:00:00,10.5,21.0 
 01/06  15:00:00,10.6,21.0 
 01/06  16:00:00,8.3,21.0 
 01/06  17:00:00,7.6,21.0 
 01/06  18:00:00,7.1,20.999999999999996 
 01/06  19:00:00,7.9,21.0 
 01/06  20:00:00,6.3,21.0 
 01/06  21:00:00,4.6,20.999999999999996 
 01/06  22:00:00,4.1,20.999999999999996 
 01/06  23:00:00,2.9,21.0 
 01/06  24:00:00,2.8,20.999999999999996 
 01/07  01:00:00,2.7,21.0 
 01/07  02:00:00,2.0,21.0 
 01/07  03:00:00,1.5,21.0 
 01/07  04:00:00,0.6,21.0 
 01/07  05:00:00,0.1,21.0 
 01/07  06:00:00,0.4,20.999999999999996 
 01/07  07:00:00,-0.1,21.0 
 01/07  08:00:00,0.9,21.0 
 01/07  09:00:00,3.1,21.0 
 01/07  10:00:00,4.5,21.0 
 01/07  11:00:00,8.0,21.0 
 01/07  12:00:00,8.3,21.000000000000004 
 01/07  13:00:00,8.2,21.0 
 01/07  14:00:00,10.3,21.000000000000004 
 01/07  15:00:00,10.4,21.0 
 01/07  16:00:00,8.6,21.000000000000004 
 01/07  17:00:00,8.4,20.999999999999993 
 01/07  18:00:00,8.5,21.0 
 01/07  19:00:00,8.6,21.0 
 01/07  20:00:00,7.4,20.999999999999996 
 01/07  21:00:00,6.1,21.0 
 01/07  22:00:00,6.6,20.999999999999996 
 01/07  23:00:00,5.4,21.0 
 01/07  24:00:00,4.5,21.0 
 01/08  01:00:00,4.1,21.0 
 01/08  02:00:00,2.0,21.0 
