Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ROOM1:Zone Mean Air Temperature [C](TimeStep),ROOM1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy [J](TimeStep),ROOM1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy [J](TimeStep) 
 01/01  01:00:00,8.1,21.0,1999632.3528852891,0.0 
 01/01  02:00:00,6.9,21.000000000000007,2247844.914768927,0.0 
 01/01  03:00:00,6.8,21.0,2521467.3223108035,0.0 
 01/01  04:00:00,5.7,20.999999999999996,2832134.082983553,0.0 
 01/01  05:00:00,5.9,21.0,3158613.534113814,0.0 
 01/01  06:00:00,6.7,21.000000000000007,3495219.288580909,0.0 
 01/01  07:00:00,6.5,20.999999999999996,3838004.9823320294,0.0 
 01/01  08:00:00,5.8,20.999999999999996,4171708.807035095,0.0 
 01/01  09:00:00,7.2,21.0,3858176.02125615,0.0 
 01/01  10:00:00,10.4,20.999999999999993,3816827.6936023273,0.0 
 01/01  11:00:00,14.5,21.0,3632181.885058377,0.0 
 01/01  12:00:00,15.5,21.0,3333472.273239865,0.0 
 01/01  13:00:00,16.2,21.000000000000004,2902328.3603030224,0.0 
 01/01  14:00:00,17.9,21.0,2429469.2663030303,0.0 
 01/01  15:00:00,18.1,21.0,1974568.765887062,0.0 
 01/01  16:00:00,16.6,20.999999999999996,1565013.5481424343,0.0 
 01/01  17:00:00,16.3,21.0,1243428.7829107812,0.0 
 01/01  18:00:00,14.6,21.0,1089452.600801545,0.0 
 01/01  19:00:00,14.3,21.0,1216916.9489550586,0.0 
 01/01  20:00:00,13.2,21.000000000000004,1175440.1764400336,0.0 
 01/01  21:00:00,11.9,20.999999999999996,1222004.3835786642,0.0 
 01/01  22:00:00,11.4,21.000000000000004,1313889.0804953915,0.0 
 01/01  23:00:00,10.7,21.0,1596342.9677341531,0.0 
 01/01  24:00:00,10.7,21.0,1789579.38771457,0.0 
 01/02  01:00:00,10.6,21.000000000000004,1974323.5886436228,0.0 
 01/02  02:00:00,10.1,21.000000000000004,2208799.0188125847,0.0 
 01/02  03:00:00,10.0,21.0,2440440.758614027,0.0 
 01/02  04:00:00,9.3,20.999999999999996,2679515.160359808,0.0 
 01/02  05:00:00,9.3,21.000000000000004,2915443.479451406,0.0 
 01/02  06:00:00,9.5,21.0,3147662.978200417,0.0 
 01/02  07:00:00,9.7,20.999999999999996,3375855.2925854893,0.0 
 01/02  08:00:00,10.0,21.000000000000004,3595170.995753574,0.0 
 01/02  09:00:00,10.3,21.0,3261880.705778658,0.0 
 01/02  10:00:00,12.3,21.0,3148412.794953146,0.0 
 01/02  11:00:00,16.3,21.0,2908078.018903488,0.0 
 01/02  12:00:00,17.2,21.0,2608419.067871225,0.0 
 01/02  13:00:00,17.7,20.999999999999996,2130821.800523059,0.0 
 01/02  14:00:00,19.7,20.999999999999996,1555259.576503163,0.0 
 01/02  15:00:00,19.6,20.999999999999993,1024649.8404672993,0.0 
 01/02  16:00:00,17.9,21.0,607434.7622751219,0.0 
 01/02  17:00:00,17.8,21.0,316208.8563958561,0.0 
 01/02  18:00:00,16.4,21.0,172270.29053670485,0.0 
 01/02  19:00:00,16.8,21.000000000000004,322619.2475124822,0.0 
 01/02  20:00:00,14.9,21.0,279178.67348273215,0.0 
 01/02  21:00:00,12.1,21.0,313719.39360860776,0.0 
 01/02  22:00:00,11.4,21.0,399268.8958828508,0.0 
 01/02  23:00:00,9.9,21.0,707413.1896700076,0.0 
 01/02  24:00:00,9.7,20.999999999999996,922216.4670327022,0.0 
 01/03  01:00:00,9.5,20.999999999999996,1140233.8798507222,0.0 
 01/03  02:00:00,8.8,20.999999999999996,1398887.1705792455,0.0 
 01/03  03:00:00,9.0,20.999999999999996,1705078.5644449957,0.0 
