Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ROOM1:Zone Windows Total Heat Gain Energy [J](TimeStep),ROOM1:Zone Windows Total Heat Loss Energy [J](TimeStep),WALL_NORTH:Surface Inside Face Temperature [C](TimeStep),WALL_NORTH:Surface Outside Face Temperature [C](TimeStep),WALL_NORTH:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),WALL_SOUTH:Surface Inside Face Temperature [C](TimeStep),WALL_SOUTH:Surface Outside Face Temperature [C](TimeStep),WALL_SOUTH:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),WALL_EAST:Surface Inside Face Temperature [C](TimeStep),WALL_EAST:Surface Outside Face Temperature [C](TimeStep),WALL_EAST:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),WALL_WEST:Surface Inside Face Temperature [C](TimeStep),WALL_WEST:Surface Outside Face Temperature [C](TimeStep),WALL_WEST:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),FLOOR:Surface Inside Face Temperature [C](TimeStep),FLOOR:Surface Outside Face Temperature [C](TimeStep),FLOOR:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),ROOF:Surface Inside Face Temperature [C](TimeStep),ROOF:Surface Outside Face Temperature [C](TimeStep),ROOF:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),MYBINDO:Surface Inside Face Temperature [C](TimeStep),MYBINDO:Surface Outside Face Temperature [C](TimeStep),MYBINDO:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),ROOM1:Zone Mean Air Temperature [C](TimeStep),ROOM1:Zone Air System Sensible Heating Energy [J](TimeStep),ROOM1:Zone Air System Sensible Cooling Energy [J](TimeStep) 
 01/01  01:00:00,5.7,0.0,181600.5564859485,14.953810073634632,8.778672067267031,35842.344425369876,15.742880523120366,9.601668476679269,-162477.69321531215,15.101244128053038,8.865858846013788,-8087.149592530188,15.052370915853944,8.919974556022531,6482.593458501383,14.28172894916675,9.004844916147722,445143.85451107385,15.76185854566836,8.742122544458304,-389237.21550734935,12.80732148396686,8.66520244627327,72333.2659202466,21.000000000000004,4987622.697024149,0.0 
 01/01  02:00:00,5.4,0.0,190933.39574710312,14.87554667308757,8.565053443536039,27494.469565332744,15.59504447943774,9.278642312808572,-151123.42769076244,15.00934830570942,8.616101960376843,-12337.831206188323,14.967419476471225,8.68596965092795,150.2060255757976,14.222794207802094,8.900148876186066,418236.0227992501,15.60413820804968,8.135612063947216,-359573.4725163124,12.55536060924203,8.249051284208576,77154.0330231046,21.000000000000004,5114094.34433819,0.0 
 01/01  03:00:00,5.6,0.0,172340.00705076702,14.796243906652775,8.701035710820115,21932.491272478983,15.447716478675774,9.29631132477727,-139836.377470941,14.91596871594028,8.720324577818914,-13677.12682450519,14.881348515852096,8.806506504558822,-3375.5228638916224,14.162044341623886,8.92031215839917,397060.39123776904,15.447368895365344,8.7636346237211,-325861.93181822036,12.872112595827275,8.95216247624137,63758.07646731014,21.0,5235233.699871546,0.0 
 01/01  04:00:00,5.3,0.0,179623.827838301,14.715137903839462,8.539770904885682,14201.789133888646,15.30378540337368,9.045918874735406,-129881.16028751506,14.820670862121482,8.531291170310297,-17157.944745713372,14.79333311261713,8.632404740150605,-9031.071824909046,14.097291635869816,8.809647523255848,373003.906582378,15.292654178167894,8.5005405341369,-298546.7683382383,12.654940999278438,8.601574077787348,67411.24948010924,21.000000000000004,5366562.115598249,0.0 
 01/01  05:00:00,5.1,0.0,191425.94811471552,14.636813236562697,8.300789528449059,6681.034242193084,15.167178657515906,8.754386877226828,-120592.72902117042,14.728485521859271,8.275669947987904,-20535.71872812263,14.708186202477018,8.383261509235362,-14506.783698538864,14.032209847656192,8.707405193701604,351104.03801932436,15.15036678421313,7.716623907254237,-276393.5880635716,12.342374249533805,8.03492121847637,74243.7472498862,21.0,5495528.772811302,0.0 
 01/01  06:00:00,6.0,0.0,166984.4122284773,14.564206747358563,8.60877233378705,3180.4607181346782,15.038363066116021,9.004772653543249,-111062.66323457343,14.64269342782712,8.576730356725795,-20102.334393989517,14.62904531534232,8.683015963457992,-16052.312366476739,13.97119911750066,8.924156246723648,337776.5868058247,15.021495904574232,8.246276296253894,-251059.00128545836,12.781585583110882,8.978319457690986,57319.26375653893,20.999999999999996,5604179.677815082,0.0 
 01/01  07:00:00,5.8,0.0,172105.5823218526,14.492214005601188,8.54406860064385,-2697.107358718202,14.91667849963184,8.890770002825732,-103113.63307958326,14.558474431232119,8.501161210062167,-22337.03230077745,14.550930195446435,8.610595338138236,-20100.20842228056,13.909065976660397,8.882936418793598,320912.58723233524,14.896923418609079,8.071568990925815,-232374.62233967878,12.618053176605258,8.743972033097293,59710.01626870311,20.999999999999996,5718936.572659481,0.0 
 01/01  08:00:00,6.3,0.0,166397.09971231542,14.427934467027656,8.633890661403258,-7123.8139176721,14.806863110518611,8.942025288578636,-95758.33809357628,14.483105441237251,8.58371898130522,-23464.850927720214,14.481001067481737,8.693652608110803,-22841.39749988626,13.852862529699486,9.021785500610148,307829.2697507249,14.785333342791477,7.927392875438545,-213981.6717062737,12.674942461804676,8.88066419095594,55340.80239440364,21.0,5821179.591217012,0.0 
 01/01  09:00:00,6.3,147832.0611476125,0.0,14.427817937361231,9.204138929238125,-4412.792395035938,14.750562548179435,9.520114288898307,-82316.84625012861,14.473064928185325,9.133189065394141,-17815.202310949986,14.475864495267826,9.720475734193974,-18643.825700142042,13.908515511272071,9.043518752885635,282010.08610764,14.7442872955176,9.792866465537692,-185941.7607317908,13.553303398441244,9.895578740404403,27120.34128040773,20.999999999999996,5531342.702054072,0.0 
 01/01  10:00:00,6.3,552297.5256673935,0.0,14.44282493302344,9.850701782527814,1714.9748869662467,14.710076135677717,11.075098432310373,-66027.27003841479,14.47917920189762,9.768565390180003,-9054.635317290553,14.489144413660023,11.277197401708404,-12006.018017734297,14.015330705357746,9.054084847908609,242514.4265834159,14.728918708271882,12.175342433368286,-157321.83807695576,14.412934397305321,10.684223321614184,180.359980013327,20.999999999999996,5511686.754805481,0.0 
 01/01  11:00:00,7.7,808822.2495568042,0.0,14.478025907751487,10.818315772783004,8632.778403980425,14.701183784531121,13.72451900699964,-52424.915443701975,14.506339920453199,10.80885935118792,243.34852225265,14.533555829543452,12.486045661735595,-7823.155211782102,14.106580125814563,9.470381608202437,224242.78218656027,14.760399712619938,14.608430289103131,-142099.45096846396,15.408363076712476,12.136117867575138,-30771.387488845132,21.0,5418748.94060402,0.0 
 01/01  12:00:00,7.5,1447365.164732282,0.0,14.5854036025832,11.405289442207001,27836.22887362358,14.778329856641696,18.039392598244405,-33355.34645698587,14.606881006942329,11.463350293331347,21465.631274173968,14.666267756753053,13.109653651254805,3842.6848091474835,14.35229097850057,9.513929616864202,183414.6119126097,14.907012287566163,18.12212524486217,-128065.23478027925,16.901294632331258,13.611410507229664,-75138.57563228921,21.0,5264151.042564667,0.0 
 01/01  13:00:00,6.7,2041492.0666134688,0.0,14.740870068732072,11.282645680071003,51539.27834067325,14.95938572055554,22.868742483266807,-22353.188724493983,14.757597039773417,11.468407242897495,46569.76618722428,14.85870765177115,11.900810183955743,16511.73672777914,14.662965369218144,9.341032180566827,141308.39324286112,15.15305842724069,20.00429195838584,-134664.94642968045,17.832423466445164,13.900846656856572,-98911.03934436306,21.000000000000004,5024411.381721911,0.0 
