Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ROOM1:Zone Windows Total Heat Gain Energy [J](TimeStep),ROOM1:Zone Windows Total Heat Loss Energy [J](TimeStep),WALL_NORTH:Surface Inside Face Temperature [C](TimeStep),WALL_NORTH:Surface Outside Face Temperature [C](TimeStep),WALL_NORTH:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),WALL_SOUTH:Surface Inside Face Temperature [C](TimeStep),WALL_SOUTH:Surface Outside Face Temperature [C](TimeStep),WALL_SOUTH:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),WALL_EAST:Surface Inside Face Temperature [C](TimeStep),WALL_EAST:Surface Outside Face Temperature [C](TimeStep),WALL_EAST:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),WALL_WEST:Surface Inside Face Temperature [C](TimeStep),WALL_WEST:Surface Outside Face Temperature [C](TimeStep),WALL_WEST:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),FLOOR:Surface Inside Face Temperature [C](TimeStep),FLOOR:Surface Outside Face Temperature [C](TimeStep),FLOOR:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),ROOF:Surface Inside Face Temperature [C](TimeStep),ROOF:Surface Outside Face Temperature [C](TimeStep),ROOF:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),MYBINDO:Surface Inside Face Temperature [C](TimeStep),MYBINDO:Surface Outside Face Temperature [C](TimeStep),MYBINDO:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),ROOM1:Zone Mean Air Temperature [C](TimeStep),ROOM1:Zone Air System Sensible Heating Energy [J](TimeStep),ROOM1:Zone Air System Sensible Cooling Energy [J](TimeStep) 
 01/01  01:00:00,5.7,0.0,240249.03784135665,20.256172457132994,5.952441734604522,-13825.073224623206,20.34712155778695,6.251830705643678,-17370.295321510752,20.266620361390007,5.986652966954609,-17110.934463131012,20.266115688999236,5.998582355343254,-16952.154341030902,20.29453517067243,6.405542043427284,-49138.42664908808,20.30637766909358,4.577594463039402,-56145.106469431325,15.227079617411732,9.762722456765573,170541.9904688158,20.999999999999996,310806.59514261206,0.0 
 01/01  02:00:00,5.4,0.0,250109.4292760459,20.23287506040437,5.594304640354672,-15180.666513035087,20.326234769005403,5.882678167872364,-18464.733374269857,20.24331555319596,5.627262624412689,-18463.407789506615,20.242888586885027,5.632770867181603,-18329.11084787227,20.2646771431117,6.186900105963553,-47784.27411562348,20.283258084587555,3.6021905515350885,-58799.43033006184,15.003342818069882,9.359112567063903,177021.62297036967,21.0,327984.44273735234,0.0 
 01/01  03:00:00,5.6,0.0,232300.4719985411,20.21389888541628,6.068689209420342,-13771.852938780741,20.307644777252875,6.2650285504273135,-18695.670565387685,20.224362443105946,6.068472368228345,-17061.150829771555,20.223986353189666,6.105676566747449,-16942.890603020966,20.239998382882806,6.304223811797955,-41725.24660579947,20.264893836251638,5.56194067063189,-56503.60555476372,15.356626926672789,10.056969484144929,164700.4170975239,21.0,334583.71934387414,0.0 
 01/01  04:00:00,5.3,0.0,240921.33672089802,20.19411557143,5.810151122436428,-14915.68802321913,20.289865133297223,5.982782854179163,-19603.134215640264,20.20462812277081,5.805489602857605,-18219.731666876716,20.204274857556914,5.8403168299821715,-18108.68335135075,20.214651075020765,6.091554967523291,-40562.70285640136,20.24560003475747,5.194416542848189,-58935.37440445716,15.162992628159259,9.722787278631131,170345.31451794514,21.0,349162.31347486045,0.0 
 01/01  05:00:00,5.1,0.0,253223.15131375025,20.17446243652769,5.362851097050133,-16398.352396893486,20.272644577625442,5.572714577699093,-20610.96289423363,20.185043989120704,5.3727110266456215,-19723.40684058614,20.184686935865713,5.39087380755289,-19611.204450337784,20.189650829666988,5.9307844050266025,-40186.030176888096,20.226445968993843,3.5707024323023715,-62031.83224199221,14.89022208728585,9.184894829395716,178561.78900093152,21.0,365000.2939623213,0.0 
 01/01  06:00:00,6.0,0.0,229590.02280915226,20.159179246075052,6.147014247205199,-14327.116014940086,20.257146167428203,6.332631324221344,-20546.07790397081,20.169844096812863,6.163381047821884,-17677.7696160869,20.16945986903298,6.17321683762703,-17557.060266566757,20.169756197279202,6.499401805244473,-33530.197359901984,20.212039750828485,5.100998730529456,-58645.356244547234,15.36848134824686,10.148480292421539,162283.5774060139,21.0,367753.66396014637,0.0 
 01/01  07:00:00,5.8,0.0,235541.40656289636,20.142371282025263,6.01443137056559,-15140.078984268148,20.24182627726554,6.187240781420623,-21239.001571841665,20.153126073831075,6.023200135325791,-18518.437785184673,20.152695563405675,6.038812839483725,-18383.21852847577,20.148304907770623,6.411280633332474,-32291.561573449348,20.195838714555943,4.796319469304351,-60518.72487205948,15.2343661450156,9.92837004670156,166091.0233152794,21.0,379797.6074019976,0.0 
 01/01  08:00:00,6.3,0.0,230598.91175560906,20.126846028214192,6.263720624478868,-14891.00954344367,20.227038572112424,6.454779892734897,-21593.91961515514,20.137691113537638,6.290419901192266,-18297.178916914883,20.13719980928084,6.286108459777502,-18142.893927911602,20.128454761269992,6.766446617115703,-29250.88258257561,20.18096852542591,4.657687879247087,-60436.69421388999,15.3226432389705,10.07884975644646,162612.57879989088,20.999999999999996,388083.56485149567,0.0 
 01/01  09:00:00,6.3,82485.36335212046,0.0,20.172668990184548,7.2731850997199805,-7635.256545821138,20.25760233484614,7.459509102292566,-14421.794113737647,20.183612108611136,7.200617981930096,-11073.782275419173,20.183049401931438,8.081361914942661,-10896.958600583845,20.219055760541234,6.795687244118808,-42127.04281131533,20.229662794908236,8.024185597265266,-48435.13448147096,16.231150924778717,11.094966738321318,134589.96882834818,21.000000000000004,41803.40692017871,0.0 
 01/01  10:00:00,6.3,485839.12390704174,0.0,20.225520923950604,8.207034726592784,2585.969239616426,20.2903400709611,9.86107906735196,-3324.8053751345446,20.236562221740332,8.098998390361588,-885.2682441236489,20.235921395461467,10.383290376548596,-683.788313584466,20.357631488483566,6.8171951433898,-73863.77959936629,20.28611084008668,11.457248224678981,-31266.794118590402,17.12553254625385,11.892649581070941,107438.46641118312,21.01028690719421,0.0,0.0 
 01/01  11:00:00,7.7,741958.9023376941,0.0,20.278741444054518,9.823290524335103,11672.105275529482,20.324125793136435,14.07274273439183,5987.674974434314,20.28986853007541,9.84090048136017,8171.991700983453,20.289146775448117,12.064784672335756,8399.039490767416,20.471200853934853,7.749126872677473,-92688.77825438346,20.342572794322148,14.564712783057335,-16029.93999611389,18.176550802244037,13.390456784514413,74487.9068087826,21.169129644739346,0.0,0.0 
 01/01  12:00:00,7.5,1377444.9072582594,0.0,20.391199211390354,10.41675304146543,29904.87118855968,20.40457359089842,19.734699388542243,24909.041854214975,20.402357222399207,10.54155216713888,26391.05518820088,20.401557476439017,12.456484535617411,26642.922335603216,20.736458137038912,7.739364455108028,-149654.7559461557,20.461657240512,19.050920421825886,14449.69514209691,19.71511099439988,14.850314778296308,27357.17023748016,21.322528402056356,0.0,0.0 
