Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ROOM1:Zone Windows Total Heat Gain Energy [J](TimeStep),ROOM1:Zone Windows Total Heat Loss Energy [J](TimeStep),WALL_NORTH:Surface Inside Face Temperature [C](TimeStep),WALL_NORTH:Surface Outside Face Temperature [C](TimeStep),WALL_NORTH:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),WALL_SOUTH:Surface Inside Face Temperature [C](TimeStep),WALL_SOUTH:Surface Outside Face Temperature [C](TimeStep),WALL_SOUTH:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),WALL_EAST:Surface Inside Face Temperature [C](TimeStep),WALL_EAST:Surface Outside Face Temperature [C](TimeStep),WALL_EAST:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),WALL_WEST:Surface Inside Face Temperature [C](TimeStep),WALL_WEST:Surface Outside Face Temperature [C](TimeStep),WALL_WEST:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),FLOOR:Surface Inside Face Temperature [C](TimeStep),FLOOR:Surface Outside Face Temperature [C](TimeStep),FLOOR:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),ROOF:Surface Inside Face Temperature [C](TimeStep),ROOF:Surface Outside Face Temperature [C](TimeStep),ROOF:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),MYBINDO:Surface Inside Face Temperature [C](TimeStep),MYBINDO:Surface Outside Face Temperature [C](TimeStep),MYBINDO:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),ROOM1:Zone Mean Air Temperature [C](TimeStep),ROOM1:Zone Air System Sensible Heating Energy [J](TimeStep),ROOM1:Zone Air System Sensible Cooling Energy [J](TimeStep) 
 01/01  01:00:00,5.7,0.0,219064.0052454325,18.457459091897277,6.218550180672052,-11312.749605757755,18.631878472425083,6.277610013056031,-40491.668623689235,18.484780868012358,6.184062046575208,-19748.792254333457,18.480603949213755,6.2334567266081855,-18459.271421491856,18.287080113519952,6.804186127972293,77965.51201571824,18.634024845281218,4.553670026439196,-124690.51121605853,14.356451157172842,9.371731317326862,136737.481105613,21.0,1635862.8564608372,0.0 
 01/01  02:00:00,5.4,0.0,229139.95485086864,18.446868949667085,5.856645849211409,-13055.516535844448,18.61946199649126,5.929181845534967,-40774.74686969569,18.474036521521416,5.828826855384995,-21443.18124802941,18.46921141805777,5.866627265360515,-19953.53842399726,18.271430115292766,6.590711203685306,77614.32111742576,18.619569677568666,3.548582888196925,-125711.1880203565,14.140320671994573,8.971031047831389,143323.84998049765,21.000000000000004,1649820.6604102505,0.0 
 01/01  03:00:00,5.6,0.0,211340.59743864855,18.43759975168885,6.380816662795765,-12151.777201427702,18.60559745730098,6.3667158536654584,-40108.875200840426,18.46429877932621,6.318334792525064,-20394.05945460523,18.45912530393446,6.388330872525247,-18796.917279221972,18.25834509145358,6.723934077092319,81541.74834171435,18.60566242919061,5.679505830835166,-121287.43409807434,14.500321754807487,9.675191581278739,131197.3148924551,20.999999999999996,1654721.262487186,0.0 
 01/01  04:00:00,5.3,0.0,220024.04362565916,18.42532108776454,6.114497581732897,-13848.10808199024,18.589601234857916,6.1014743049109175,-39967.65802019257,18.451324989595122,6.054985214020293,-21874.85902128737,18.446026952961095,6.120492999939863,-20239.400897932166,18.24266397370014,6.503398192280212,80310.83791930963,18.587776605535154,5.362405317919387,-121192.41056261021,14.31269698772769,9.345515429427792,136811.5986647031,21.0,1670041.8397516494,0.0 
 01/01  05:00:00,5.1,0.0,232529.09407349958,18.411255652819012,5.65075445449469,-15949.417464253249,18.571897146559657,5.688247475346827,-39888.869639375174,18.43640501231703,5.608162034206324,-23711.30165476682,18.431141963244144,5.655980538311463,-22086.839520377907,18.225563239768935,6.334350379570233,78087.51913847063,18.567457471637223,3.6550290891151973,-121498.84254882239,14.041577129901384,8.80499716465107,145047.7516891252,21.0,1688593.0465397823,0.0 
 01/01  06:00:00,6.0,0.0,208924.71804860837,18.399631409179698,6.497637095863497,-14553.938858750844,18.554076542367543,6.510943362019999,-38810.675121079395,18.423818016345578,6.453473899473997,-22017.773026309802,18.41870119895515,6.502560377341713,-20438.618939372212,18.21166619302228,6.986407349824367,82039.83038827738,18.549584214609897,5.277780824045208,-115204.11490766323,14.520038669553173,9.767890627560632,128985.2904648984,21.0,1694515.8014831534,0.0 
 01/01  07:00:00,5.8,0.0,214907.13577821595,18.385570935371096,6.3786240862419215,-16012.357908419655,18.53534161009531,6.391410645412494,-38420.85902994103,18.408725287642753,6.3326280361824425,-23156.632484218313,18.40383090393152,6.3828857253008,-21646.327038357715,18.19527097877562,6.876821621378247,80633.98780187065,18.529039224386857,5.012652712949545,-114143.54818549722,14.387571239672468,9.548649379076437,132745.7368445631,21.000000000000004,1711048.8651976718,0.0 
 01/01  08:00:00,6.3,0.0,209967.1316460056,18.371870562207274,6.648272460245979,-16410.81949362575,18.516387012664996,6.68370426582334,-37745.51894379665,18.393956968094265,6.612611977091602,-23224.59984708238,18.389332872087536,6.6522436603808,-21797.896717850716,18.179457074106292,7.259362725342479,81095.73227532276,18.509049013070523,4.8626938592523485,-111211.67371977685,14.476333932476109,9.699630923881955,129294.77644680969,21.0,1724302.4221962248,0.0 
 01/01  09:00:00,6.3,103286.1419652407,0.0,18.412064782774042,7.73390840304267,-10070.78092995456,18.53672430367393,7.781509335083649,-30216.15686648354,18.4330840691697,7.615762665294782,-16557.594287121105,18.428753968244386,8.575481925471435,-15221.157411612883,18.263551303533163,7.295780736494193,67563.27331360182,18.545026114566436,8.503623194972727,-96771.11814206808,15.383567119979261,10.718420913049613,101273.53432363865,21.000000000000004,1373892.71774499,0.0 
 01/01  10:00:00,6.3,506903.4486167282,0.0,18.457901409247807,8.712844144561089,-988.601176076304,18.558359810990904,10.339874943710543,-19098.2502532883,18.47787043453089,8.565860043911266,-7154.155757974969,18.473845842977642,10.980850115961813,-5911.438583119161,18.392053446449413,7.315606661256373,36536.663023452296,18.5874311641179,12.100749220251334,-77627.26614712526,16.27035308662255,11.514424920798433,74243.04889413196,21.000000000000004,1316846.984913989,0.0 
 01/01  11:00:00,7.7,763188.0900539211,0.0,18.50300844881425,10.420985461200797,7163.187214998323,18.580185048676963,14.76478068075348,-9606.362084071463,18.52195027278058,10.418643797449644,1312.102703100765,18.518278866705984,12.746071871743759,2446.278492091791,18.49694478034058,8.293433397749771,17053.299586815145,18.62901458907601,15.335007823756612,-60179.156497308955,17.303271322965088,12.99773802337802,41810.65058437461,21.000000000000004,1217368.4302679366,0.0 
 01/01  12:00:00,7.5,1400260.7161610166,0.0,18.587140338805604,11.02238003726503,24168.109921535157,18.62995580747431,20.659883410698082,8783.859304242422,18.605079408856486,11.139571593859763,18622.03911932071,18.602000308264614,13.119525773967304,19574.04542678515,18.7313927339269,8.313867045775357,-38783.06928140048,18.71221161869825,19.953057668110556,-27542.672531766384,18.807115488816578,14.45125629986785,-4822.311958716682,21.0,1123025.4333474813,0.0 
 01/01  13:00:00,6.7,1993727.8968720366,0.0,18.681974851433736,10.222280249320686,40980.380826055196,18.69308283727804,26.013295998508955,28497.52972996966,18.69892906249971,10.51253333485798,35733.71097946356,18.697028171747995,10.430083231231585,36321.99264655988,19.008048878959368,7.7634724797614565,-113819.30002758246,18.80732694511632,20.667840900515277,3986.5995806247793,19.73577885325824,14.722694067482905,-31700.91373509049,21.0,1017915.4342827348,0.0 
 01/01  14:00:00,6.2,1701655.0430322003,0.0,18.701345064733527,10.193519742434624,38451.88595209631,18.710550805626756,21.458419489346117,29459.706008489953,18.71733768837357,13.06495779474134,33501.44604500221,18.717451706035998,10.32254312748316,33466.83811465815,19.04248146239927,7.360059085711642,-127440.18554323532,18.82474063027021,20.379893478352145,315.6125526744947,19.06100881025884,13.96156592032446,-7755.3031296857625,20.999999999999996,988659.4390304759,0.0 
 01/01  15:00:00,6.2,990762.2909905871,0.0,18.66594552344415,9.964485795045961,22375.71133151399,18.69115248459998,15.764914218743721,16884.647929408984,18.68105312635962,12.958884954413325,17701.209842719498,18.683904294806432,10.04098642952158,16818.911612370415,18.882808240687275,7.3127350549435945,-84872.42721621603,18.788305882223778,17.08554947774771,-29463.521013494497,17.567280180073,12.638896411010478,40555.46751369784,21.0,1034049.6507305284,0.0 
 01/01  16:00:00,7.6,313057.11297370685,0.0,18.60510808579623,9.927378970529633,7357.531701959537,18.659189517340025,11.930865087690762,58.6395997221828,18.619590097925762,11.559838175610775,2879.4029989678,18.625286502903343,9.978637355513387,1117.7521164638406,18.672268368454624,8.26536256086504,-25466.498326140536,18.72944061730246,13.221427946288554,-58958.229283708206,16.494727507960363,12.228162720993339,73011.40119273546,21.0,1107812.4429590236,0.0 
 01/01  17:00:00,7.3,81003.94128749409,0.0,18.564815171508446,8.938655370308167,1900.6741225841254,18.648821343591198,9.787362152637014,-10391.249375302168,18.579351782924654,9.940349371647583,-2592.461754490209,18.58706560789619,8.9740999984157,-4977.027205299134,18.57508895970356,8.186241233158189,-2491.9909964700146,18.69610853526749,10.489479388878296,-73317.12982360866,15.871001923645622,11.620240384744875,91869.18503258644,21.0,1160251.6627192302,0.0 
 01/01  18:00:00,7.8,0.0,179965.71393939597,18.525398285580042,8.44653906492304,-4436.115626467468,18.63960363837238,8.970696116994914,-21763.69133510085,18.541027814362522,8.673236636387609,-9265.14178365474,18.54924598640657,8.472932950571439,-11804.605800912868,18.46215836123694,8.58683283751989,28497.940616821736,18.666524979157337,7.77312584690181,-91019.16762213137,15.269290443123168,11.127828770235055,109790.78155144589,21.0,1205557.796096595,0.0 
 01/01  19:00:00,7.2,0.0,184068.91220696495,18.4964566837706,8.06056754327587,-5587.223894900817,18.630491596199548,8.41496296847912,-27634.336515898653,18.514137593886247,8.184072437480395,-11047.82623918686,18.52132296018806,8.113046974233459,-13267.872928785455,18.40099340402082,8.19004180342059,45031.10317820967,18.649804992662766,7.859495732692802,-100264.51420814457,15.144402393501707,10.968654272808635,112770.6706087069,21.0,1484253.7505310855,0.0 
 01/01  20:00:00,6.8,0.0,195387.554519301,18.48317452056257,7.53457381309339,-7015.617096149765,18.633534216514025,7.810800057340531,-32266.678496311735,18.503408229517223,7.610358720951885,-13263.766324414653,18.508519550591846,7.584917292992183,-14843.241854904374,18.364356730274253,7.879025379470382,55986.38366656801,18.647502859912834,6.60891186670842,-109385.71430353748,14.882502821826392,10.464455995457683,120788.6344087501,21.0,1501158.94507992,0.0 
