Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ROOM1:Zone Mean Air Temperature [C](TimeStep) 
 01/01  01:00:00,5.7,20.999999999999996 
 01/01  02:00:00,5.4,21.0 
 01/01  03:00:00,5.6,21.0 
 01/01  04:00:00,5.3,20.999999999999996 
 01/01  05:00:00,5.1,21.0 
 01/01  06:00:00,6.0,21.0 
 01/01  07:00:00,5.8,20.999999999999996 
 01/01  08:00:00,6.3,21.0 
 01/01  09:00:00,6.3,21.0 
 01/01  10:00:00,6.3,20.999999999999996 
 01/01  11:00:00,7.7,21.000000000000004 
 01/01  12:00:00,7.5,21.0 
 01/01  13:00:00,6.7,20.999999999999996 
 01/01  14:00:00,6.2,21.000000000000004 
 01/01  15:00:00,6.2,21.0 
 01/01  16:00:00,7.6,21.0 
 01/01  17:00:00,7.3,21.0 
 01/01  18:00:00,7.8,21.0 
 01/01  19:00:00,7.2,20.999999999999996 
 01/01  20:00:00,6.8,21.0 
 01/01  21:00:00,6.6,21.0 
 01/01  22:00:00,6.1,21.000000000000004 
 01/01  23:00:00,5.4,21.000000000000004 
 01/01  24:00:00,4.8,21.000000000000004 
 01/02  01:00:00,3.8,21.0 
 01/02  02:00:00,3.2,21.0 
 01/02  03:00:00,3.0,21.000000000000004 
 01/02  04:00:00,2.8,21.0 
 01/02  05:00:00,3.2,21.0 
 01/02  06:00:00,3.7,21.0 
 01/02  07:00:00,3.3,21.0 
 01/02  08:00:00,3.8,21.0 
 01/02  09:00:00,4.6,20.999999999999996 
 01/02  10:00:00,6.9,21.0 
 01/02  11:00:00,11.1,21.092769847997534 
 01/02  12:00:00,10.7,21.000018039852293 
 01/02  13:00:00,10.1,21.000000418638628 
 01/02  14:00:00,9.6,21.000000015891196 
 01/02  15:00:00,9.6,21.00000000072925 
 01/02  16:00:00,7.6,21.00000000003704 
 01/02  17:00:00,7.2,21.000000000001975 
 01/02  18:00:00,6.8,21.00000000000011 
 01/02  19:00:00,6.3,21.000000000000007 
 01/02  20:00:00,6.2,21.0 
 01/02  21:00:00,5.5,21.0 
 01/02  22:00:00,5.3,21.000000000000004 
 01/02  23:00:00,4.8,21.0 
 01/02  24:00:00,5.1,21.000000000000004 
 01/03  01:00:00,5.7,21.0 
 01/03  02:00:00,5.4,21.000000000000004 
 01/03  03:00:00,5.6,21.0 
 01/03  04:00:00,5.3,21.0 
 01/03  05:00:00,5.1,20.999999999999996 
 01/03  06:00:00,6.0,21.000000000000004 
 01/03  07:00:00,5.8,21.0 
 01/03  08:00:00,6.3,21.000000000000004 
 01/03  09:00:00,6.3,21.0 
 01/03  10:00:00,6.3,21.000000000000007 
 01/03  11:00:00,7.7,21.000000000000004 
 01/03  12:00:00,7.5,21.0 
 01/03  13:00:00,6.7,21.0 
 01/03  14:00:00,6.2,21.0 
 01/03  15:00:00,6.2,20.999999999999996 
 01/03  16:00:00,7.6,21.000000000000004 
 01/03  17:00:00,7.3,21.0 
 01/03  18:00:00,7.8,20.999999999999996 
 01/03  19:00:00,7.7,21.000000000000004 
 01/03  20:00:00,7.4,21.0 
 01/03  21:00:00,6.6,21.0 
 01/03  22:00:00,6.8,21.000000000000004 
 01/03  23:00:00,6.4,21.0 
 01/03  24:00:00,6.4,21.000000000000004 
 01/04  01:00:00,6.7,21.0 
 01/04  02:00:00,6.8,21.000000000000004 
 01/04  03:00:00,6.4,21.0 
 01/04  04:00:00,5.3,21.000000000000004 
 01/04  05:00:00,5.4,21.000000000000004 
 01/04  06:00:00,5.0,20.999999999999996 
 01/04  07:00:00,4.4,21.000000000000004 
 01/04  08:00:00,4.4,20.999999999999996 
 01/04  09:00:00,4.6,20.999999999999996 
 01/04  10:00:00,5.1,20.999999999999996 
 01/04  11:00:00,6.9,21.900665313484502 
 01/04  12:00:00,7.1,22.99104180505052 
 01/04  13:00:00,7.0,23.900767666700226 
 01/04  14:00:00,8.4,23.999999999259 
 01/04  15:00:00,8.7,23.999999999934243 
 01/04  16:00:00,7.8,23.999999999993644 
 01/04  17:00:00,7.9,23.999999999999687 
 01/04  18:00:00,7.8,23.059108591796235 
 01/04  19:00:00,8.6,21.608704793422834 
 01/04  20:00:00,6.8,21.000604603910872 
 01/04  21:00:00,4.8,21.000000009453153 
 01/04  22:00:00,3.8,21.00000000046546 
 01/04  23:00:00,2.6,21.00000000002871 
 01/04  24:00:00,2.5,21.000000000001872 
 01/05  01:00:00,1.8,21.000000000000124 
 01/05  02:00:00,1.0,21.000000000000007 
 01/05  03:00:00,1.1,21.0 
 01/05  04:00:00,0.8,21.000000000000004 
 01/05  05:00:00,0.9,21.000000000000004 
 01/05  06:00:00,1.0,21.0 
 01/05  07:00:00,1.1,21.0 
 01/05  08:00:00,1.3,21.0 
 01/05  09:00:00,2.2,20.999999999999996 
 01/05  10:00:00,5.1,20.999999999999996 
 01/05  11:00:00,8.1,21.59946962628698 
 01/05  12:00:00,8.2,22.83886715895168 
 01/05  13:00:00,9.2,23.88517430599176 
 01/05  14:00:00,11.4,23.99902229806846 
 01/05  15:00:00,11.6,23.999892388909014 
 01/05  16:00:00,9.0,23.999987927491773 
 01/05  17:00:00,8.5,23.999999273883432 
 01/05  18:00:00,8.9,23.07627191588611 
 01/05  19:00:00,8.4,21.563285582074617 
 01/05  20:00:00,6.4,21.003510615041662 
 01/05  21:00:00,4.3,21.000005435227287 
 01/05  22:00:00,4.4,21.000000280404972 
 01/05  23:00:00,3.4,21.000000017781122 
 01/05  24:00:00,3.4,21.00000000118351 
 01/06  01:00:00,3.5,21.0000000000801 
 01/06  02:00:00,2.7,21.000000000005596 
 01/06  03:00:00,2.7,21.0000000000004 
 01/06  04:00:00,3.4,21.00000000000003 
 01/06  05:00:00,2.6,21.000000000000004 
 01/06  06:00:00,2.3,21.0 
 01/06  07:00:00,2.1,21.0 
 01/06  08:00:00,2.1,21.0 
 01/06  09:00:00,2.5,20.999999999999996 
 01/06  10:00:00,6.6,21.0 
 01/06  11:00:00,8.7,22.03547696503667 
 01/06  12:00:00,8.6,23.191500410768587 
 01/06  13:00:00,8.5,23.99966839252953 
 01/06  14:00:00,10.5,23.99999993733619 
